,f1,n_params,caps,pos,chunk,context,w2v
4,0.7057112724169519,91975,True,True,False,True,True
0,0.7034006736886528,92200,True,True,True,True,True
5,0.6933748462284343,91225,True,True,False,True,False
1,0.6933361207996779,91450,True,True,True,True,False
12,0.6799410128767811,91315,True,False,False,True,True
9,0.6780485364962732,90790,True,False,True,True,False
8,0.6776852061108548,91540,True,False,True,True,True
13,0.674556293956506,90565,True,False,False,True,False
16,0.6628301226122626,92185,False,True,True,True,True
20,0.6616107245875142,91960,False,True,False,True,True
21,0.639389121940285,91210,False,True,False,True,False
15,0.6378787397826705,30920,True,False,False,False,False
17,0.6370355886430557,91435,False,True,True,True,False
11,0.6350567330572194,30995,True,False,True,False,False
2,0.6264581801158864,31465,True,True,True,False,True
14,0.6261611114152271,31170,True,False,False,False,True
6,0.6252941521998692,31390,True,True,False,False,True
10,0.6114746628701901,31245,True,False,True,False,True
3,0.6055946416558402,31215,True,True,True,False,False
7,0.6041203327495188,31140,True,True,False,False,False
22,0.587860482788426,31385,False,True,False,False,True
18,0.5872368984316942,31460,False,True,True,False,True
24,0.5804305907790797,91525,False,False,True,True,True
28,0.5701886768456663,91300,False,False,False,True,True
19,0.5627950681341919,31210,False,True,True,False,False
23,0.5584511062818902,31135,False,True,False,False,False
25,0.5031607008702919,90775,False,False,True,True,False
29,0.4678735351395441,90550,False,False,False,True,False
26,0.4457439800541833,31240,False,False,True,False,True
30,0.4325541905325413,31165,False,False,False,False,True
27,0.36736119109586785,30990,False,False,True,False,False
31,0.33049127345646256,30915,False,False,False,False,False
